created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Mon Jan 08 01:48:49 +0000 2024,1744174286531891407,"Yes honey, the most perfect fashion icon!!  #HUENINGKAI  #TXTat38thGDAinJakarta #GDA2024 https://t.co/3832vOJFBb",0,0,0,0,en,1045949128771985408,1744174199110009029,uwujc,https://twitter.com/uwujc/status/1744174286531891407
Mon Jan 08 01:48:33 +0000 2024,1744174218986795304,So beautiful even from Cat 6. Look at him talking... pretty  #HUENINGKAI  #TXTat38thGDAinJakarta #GDA2024 https://t.co/olLBsTtDOS,0,1,0,0,en,1045949128771985408,1744174199110009029,uwujc,https://twitter.com/uwujc/status/1744174218986795304
Mon Jan 08 01:48:30 +0000 2024,1744174205716021264,"I was going to gatekeep this because he look so handsome, but it would be a shame to not grace other people's eyes with his beauty.  #HUENINGKAI  #TXTat38thGDAinJakarta #GDA2024 https://t.co/8YJvo4vSZy",0,1,0,0,en,1045949128771985408,1744174199110009029,uwujc,https://twitter.com/uwujc/status/1744174205716021264
Mon Jan 08 01:48:28 +0000 2024,1744174199110009029,Archive: Hueningkai handsome visual at GDA 2024 appreciation threads,0,1,0,0,en,1045949128771985408,1744174199110009029,uwujc,https://twitter.com/uwujc/status/1744174199110009029
Mon Jan 08 01:47:29 +0000 2024,1744173950417186944,Pesan KH. Marzuki Mustamar untuk menjaga pemilu 2024 yang aman dan damai  #SukseskanPemilu2024   Viralin #GDA2024 Korea Fansite #MyDemonEp12 #DeathsGame RIIZE IS 7 #WelcomeToSamdalriEp11 CONGRATULATIONS JUNGKOOK Tidur https://t.co/vIZ0dW8wRW,0,0,0,0,in,1448403464,1744173950417186944,evaristo_ella,https://twitter.com/evaristo_ella/status/1744173950417186944
Mon Jan 08 01:47:25 +0000 2024,1744173932046074255,"sudah lama tidak menyentuh dunia kpop dan ga update tentang Stray Kids karena fokus sama diri sendiri, terus hari ini aku baru tau kalo kemaren sabtu tgl 6 Januari, Stray Kids nyasar sampe Jakarta menghadiri GDA 2024. Mau nangis.. mana kata orang Hyunjin irl beneran ganteng bgt😭",0,0,0,0,in,1685467384969351168,1744173932046074255,croissankh,https://twitter.com/croissankh/status/1744173932046074255
Mon Jan 08 01:46:46 +0000 2024,1744173771643052093,📸 GDA 2024 - 06.01.24  Saranghae Nunbit  😎😍  Cr: AquariusDino211 https://t.co/pc5xKb9fU7,0,0,0,2,tl,1513148254669705220,1744173771643052093,BrasilDino,https://twitter.com/BrasilDino/status/1744173771643052093
Mon Jan 08 01:45:52 +0000 2024,1744173542173012167,"Mingyu lu bener bener yaa bikin anak org ketar ketir, abis di lirik bs bsnya nyebut love you"" 😭🫵🏻 #GoldenDiscAwards2024 #GDA2024 #GDAinJakarta https://t.co/OUMoeRXzAj""",0,0,1,1,in,1017391249408458752,1744173542173012167,boy_seagul,https://twitter.com/boy_seagul/status/1744173542173012167
Mon Jan 08 01:44:02 +0000 2024,1744173082145690076,📸 GDA 2024 - 06.01.24  Que homem.... QUE HOMEM!!!!  Cr: AquariusDino211 https://t.co/3FoxVnGhgh,0,0,0,1,pt,1513148254669705220,1744173082145690076,BrasilDino,https://twitter.com/BrasilDino/status/1744173082145690076
Mon Jan 08 01:43:32 +0000 2024,1744172957184983471,[GDA 2024]   ❤️ https://t.co/AVPAKhTDbQ,0,0,0,0,und,1438170822443614211,1744172957184983471,soobincomfort,https://twitter.com/soobincomfort/status/1744172957184983471
Mon Jan 08 01:42:43 +0000 2024,1744172751504715869,Jangan biarkan money politic terjadi di pemilu 2024  #SukseskanPemilu2024   Viralin #GDA2024 Korea Fansite #MyDemonEp12 #DeathsGame RIIZE IS 7 #WelcomeToSamdalriEp11 CONGRATULATIONS JUNGKOOK Tidur https://t.co/Cy4io2dKcR,0,0,0,0,in,1448403464,1744172751504715869,evaristo_ella,https://twitter.com/evaristo_ella/status/1744172751504715869
